iter	Passed	Remaining
723	1574	600
724	1576	598
725	1578	595
726	1580	593
727	1581	591
728	1583	588
729	1585	586
730	1587	584
731	1589	581
732	1590	579
733	1592	577
734	1594	574
735	1596	572
736	1597	570
737	1599	567
738	1601	565
739	1603	563
740	1604	560
741	1606	558
742	1608	556
743	1610	554
744	1611	551
745	1613	549
746	1615	547
747	1617	544
748	1619	542
749	1620	540
750	1622	538
751	1624	535
752	1626	533
753	1628	531
754	1630	529
755	1632	526
756	1634	524
757	1636	522
758	1638	520
759	1640	518
760	1642	515
761	1643	513
762	1645	511
763	1647	508
764	1649	506
765	1651	504
766	1652	502
767	1654	499
768	1656	497
769	1658	495
770	1660	493
771	1661	490
772	1663	488
773	1665	486
774	1667	484
775	1669	481
776	1671	479
777	1673	477
778	1675	475
779	1676	472
780	1678	470
781	1680	468
782	1682	466
783	1684	464
784	1686	461
785	1687	459
786	1689	457
787	1691	455
788	1693	452
789	1694	450
790	1696	448
791	1698	446
792	1700	443
793	1702	441
794	1704	439
795	1706	437
796	1707	434
797	1709	432
798	1711	430
799	1713	428
800	1714	426
801	1716	423
802	1718	421
803	1720	419
804	1722	417
805	1724	414
806	1725	412
807	1727	410
808	1729	408
809	1731	406
810	1733	403
811	1735	401
812	1737	399
813	1738	397
814	1741	395
815	1743	393
816	1744	390
817	1746	388
818	1748	386
819	1750	384
820	1752	381
821	1753	379
822	1755	377
823	1757	375
824	1759	373
825	1761	371
826	1763	368
827	1764	366
828	1766	364
829	1768	362
830	1770	360
831	1772	357
832	1774	355
833	1775	353
834	1777	351
835	1779	349
836	1781	346
837	1783	344
838	1784	342
839	1786	340
840	1788	338
841	1790	335
842	1792	333
843	1793	331
844	1795	329
845	1797	327
846	1799	324
847	1800	322
848	1802	320
849	1804	318
850	1806	316
851	1807	314
852	1809	311
853	1811	309
854	1813	307
855	1815	305
856	1816	303
857	1818	301
858	1820	298
859	1822	296
860	1824	294
861	1826	292
862	1828	290
863	1829	288
864	1831	285
865	1833	283
866	1835	281
867	1837	279
868	1838	277
869	1840	275
870	1842	272
871	1844	270
872	1846	268
873	1847	266
874	1849	264
875	1851	262
876	1853	259
877	1855	257
878	1856	255
879	1858	253
880	1860	251
881	1862	249
882	1864	246
883	1865	244
884	1867	242
885	1869	240
886	1871	238
887	1872	236
888	1874	234
889	1876	231
890	1878	229
891	1880	227
892	1882	225
893	1884	223
894	1886	221
895	1888	219
896	1889	217
897	1891	214
898	1893	212
899	1895	210
900	1897	208
901	1898	206
902	1900	204
903	1902	202
904	1904	199
905	1906	197
906	1907	195
907	1909	193
908	1911	191
909	1913	189
910	1914	187
911	1916	184
912	1918	182
913	1920	180
914	1922	178
915	1923	176
916	1926	174
917	1927	172
918	1929	170
919	1931	167
920	1934	165
921	1936	163
922	1938	161
923	1939	159
924	1941	157
925	1943	155
926	1945	153
927	1947	151
928	1949	148
929	1951	146
930	1953	144
931	1955	142
932	1957	140
933	1959	138
934	1960	136
935	1962	134
936	1964	132
937	1966	129
938	1968	127
939	1970	125
940	1972	123
941	1973	121
942	1975	119
943	1977	117
944	1979	115
945	1981	113
946	1983	110
947	1984	108
948	1986	106
949	1988	104
950	1990	102
951	1992	100
952	1993	98
953	1995	96
954	1997	94
955	1999	92
956	2001	89
957	2002	87
958	2004	85
959	2006	83
960	2008	81
961	2010	79
962	2012	77
963	2014	75
964	2015	73
965	2017	71
966	2019	68
967	2021	66
968	2023	64
969	2024	62
970	2026	60
971	2028	58
972	2030	56
973	2032	54
974	2033	52
975	2035	50
976	2037	47
977	2039	45
978	2040	43
979	2043	41
980	2045	39
981	2047	37
982	2049	35
983	2051	33
984	2052	31
985	2054	29
986	2056	27
987	2058	25
988	2060	22
989	2062	20
990	2063	18
991	2065	16
992	2067	14
993	2069	12
994	2071	10
995	2072	8
996	2074	6
997	2076	4
998	2078	2
999	2080	0
