iter	RMSE
742	78135.97173
743	78104.30026
744	78103.67558
745	78047.52182
746	77986.73836
747	77948.14976
748	77927.41141
749	77901.536
750	77849.55551
751	77810.59794
752	77793.01797
753	77762.38759
754	77729.74674
755	77704.05365
756	77681.08161
757	77663.38455
758	77645.49891
759	77612.08147
760	77581.49352
761	77565.39721
762	77532.79254
763	77504.62698
764	77484.93828
765	77449.80567
766	77418.16677
767	77401.67064
768	77370.33953
769	77340.47243
770	77288.2886
771	77263.40497
772	77234.35808
773	77175.43177
774	77141.38922
775	77119.87851
776	77092.91958
777	77048.54032
778	77020.00377
779	77003.999
780	77003.19543
781	76979.06958
782	76929.80089
783	76916.83607
784	76878.17926
785	76848.27158
786	76847.86803
787	76831.19761
788	76809.60634
789	76771.87077
790	76726.30543
791	76725.49419
792	76719.15721
793	76687.36821
794	76640.33903
795	76624.80996
796	76612.85451
797	76612.23544
798	76574.54742
799	76532.90826
800	76511.39171
801	76479.77173
802	76455.57229
803	76418.67486
804	76389.16035
805	76368.09946
806	76336.50496
807	76302.31432
808	76289.71613
809	76276.19426
810	76256.28792
811	76238.22218
812	76215.4673
813	76180.97392
814	76156.02612
815	76153.09123
816	76128.15741
817	76086.58513
818	76085.50707
819	76055.74695
820	76024.52423
821	75954.35118
822	75923.08807
823	75900.84831
824	75867.98191
825	75845.93963
826	75824.92105
827	75784.85655
828	75764.19449
829	75728.58025
830	75695.7594
831	75686.18366
832	75640.68115
833	75617.40244
834	75593.05906
835	75558.90642
836	75558.51777
837	75552.66215
838	75534.83861
839	75495.05495
840	75470.05504
841	75450.58251
842	75424.10744
843	75397.59061
844	75364.68503
845	75318.55776
846	75299.33113
847	75258.29429
848	75227.55801
849	75210.92501
850	75189.40959
851	75189.02173
852	75141.77928
853	75113.53015
854	75101.35688
855	75088.69463
856	75066.07064
857	75055.91425
858	75033.53826
859	75033.14368
860	74977.59576
861	74958.30201
862	74929.55001
863	74892.88267
864	74888.0661
865	74877.35158
866	74848.92882
867	74799.20964
868	74760.6821
869	74722.82988
870	74711.93553
871	74650.73495
872	74629.28
873	74597.53332
874	74557.53416
875	74538.00929
876	74520.19554
877	74483.6263
878	74449.76141
879	74423.99135
880	74423.6409
881	74398.86769
882	74355.52024
883	74327.94877
884	74321.76459
885	74307.29318
886	74302.32809
887	74259.88916
888	74235.33157
889	74211.21463
890	74210.66067
891	74193.65608
892	74186.11925
893	74154.81505
894	74132.05114
895	74114.08294
896	74101.18076
897	74074.49769
898	74058.25097
899	74038.19128
900	74012.85292
901	73980.64408
902	73964.78303
903	73939.5063
904	73907.66881
905	73883.06431
906	73865.5761
907	73845.19265
908	73828.20739
909	73823.46785
910	73787.99542
911	73787.65711
912	73772.72886
913	73757.43314
914	73733.22439
915	73709.42675
916	73690.55198
917	73663.60639
918	73639.29523
919	73592.49706
920	73567.17926
921	73555.0964
922	73528.32534
923	73487.79381
924	73467.33896
925	73451.05965
926	73441.00248
927	73416.95688
928	73363.7484
929	73341.00429
930	73309.42851
931	73276.54882
932	73235.68198
933	73199.75669
